BioMedtechTypeCopy,MA Bio Member,CompanyName,FName,LName,Title,AddressLine1,AddressLine2,City,State,Zip,NumEmplSt,address
Contract Research & Manufacturing,,AVED ELECTRONICS INC,Robin,Santosuosso,Director New Business Dev't,95 Billerica Ave,,N Billerica,MA,01862,96,"95 Billerica Ave, N Billerica, MA 01862"
Medical Device,,AVEDRO INC,David,Muller,President/CEO,230 Third Ave,,Waltham,MA,02451,0,"230 Third Ave, Waltham, MA 02451"
Drug Development,MA Bio Member,AVEO PHARMACEUTICALS,Tuan,Ha-Ngoc,President/CEO,75 Sidney St,,Cambridge,MA,02139,200,"75 Sidney St, Cambridge, MA 02139"
Contract Research & Manufacturing,,AVERICA DISCOVERY SERVICES INC,Jeffrey,Kiplinger,President/Founder,1 Innovation Dr,3 Biotech,Worcester,MA,01605,7,"1 Innovation Dr 3 Biotech, Worcester, MA 01605"
Medical Device,,AXENA TECHNOLOGIES,Jonathan,Brown,CEO,One Davol Sq,Suite 200,Providence,RI,02903,0,"One Davol Sq Suite 200, Providence, RI 02903"
Drug Development,,AXERION THERAPEUTICS INC,Sylvia,McBrinn,President/CEO,555 Long Wharf Dr,11 Floor,New Haven,CT,06511,9,"555 Long Wharf Dr 11 Floor, New Haven, CT 06511"
Drug Development,,AXIOS BIOSCIENCES,Douglas,McMillin,Founder,,,,MA,,0,", , MA "
Medical Device,,B - K MEDICAL SYSTEMS INC,Mark,Miller,General Manager,8 Centennial Dr,,Peabody,MA,01960,100,"8 Centennial Dr, Peabody, MA 01960"
Academic,MA Bio Member,BABSON EXECUTIVE EDUCATION,,,,231 Forest St,,Babson Park,MA,02457,0,"231 Forest St, Babson Park, MA 02457"
Drug Development,MA Bio Member,BACH PHARMA INC,Mark,Henry,CEO,800 Turnpike St,Suite 300,N Andover,MA,01845,7,"800 Turnpike St Suite 300, N Andover, MA 01845"
Contract Research & Manufacturing,,BAR HARBOR BIOTECHNOLOGY INC,Robert,Phelps,CEO,18 River Field Rd,,Trenton,ME,04605,0,"18 River Field Rd, Trenton, ME 04605"
Medical Device,,BARD DAVOL,,,,100 Crossing Blvd,,Warwick,RI,02886,100,"100 Crossing Blvd, Warwick, RI 02886"
Medical Device,,"BARD ELECTROPHYSIOLOGY, DIVISION OF C R BARD INC",Benjamin,Davis,Director Business Dev't,55 Technology Dr,,Lowell,MA,01851,100,"55 Technology Dr, Lowell, MA 01851"
Medical Device,,BARIL CORP,Daniel,Baril,President,50 Ward Hill Ave,,Haverhill,MA,01835,31,"50 Ward Hill Ave, Haverhill, MA 01835"
Medical Device,,BARON MACHINE CO INC,Kim,Baron,President,O'Shea Industrial Park,40 Primrose Dr,Laconia,NH,03246,70,"O'Shea Industrial Park 40 Primrose Dr, Laconia, NH 03246"
Medical Device,,BARTRON MEDICAL IMAGING INC,Fitz,Walker,CEO/President,91 Shelton Ave,,New Haven,CT,06511,4,"91 Shelton Ave, New Haven, CT 06511"
Contract Research & Manufacturing,MA Bio Member,BATAVIA BIOSERVICES INC,Joan,Hilly,Director Cell Sciences,300 Trade Center,Suite 6650,Woburn,MA,01801,5,"300 Trade Center Suite 6650, Woburn, MA 01801"
Medical Device,,BAY INNOVATION GROUP LLC,Kevin,Ohashi,Managing Director,60 Orchard St,,Jamaica Plain,MA,02130,0,"60 Orchard St, Jamaica Plain, MA 02130"
Medical Device,,BEAVER-VISITEC INTERNATIONAL INC,Thomas,Kapfer,President/CEO,411 Waverley Oaks Rd,,Waltham,MA,02452,200,"411 Waverley Oaks Rd, Waltham, MA 02452"
Research Products & Instrumentation,,BECKMAN COULTER GENOMICS,,,,36 Cherry Hill Dr,,Danvers,MA,01923,110,"36 Cherry Hill Dr, Danvers, MA 01923"
Disease Foundation,MA Bio Member,BEDFORD STEM CELL RESEARCH FOUNDATION,Ann,Kiessling,Executive Director,P O Box 1028,,Bedford,MA,01730,3,"P O Box 1028, Bedford, MA 01730"
Agricultural/Industrial Biotechnology,,BEDOUKIAN RESEARCH INC,Robert,Bedoukian,Owner,21 Finance Dr,,Danbury,CT,06810,45,"21 Finance Dr, Danbury, CT 06810"
Medical Device,,BELMONT INSTRUMENT CORP,George,Herzlinger,President/CEO,780 Boston Rd,,Billerica,MA,01821,55,"780 Boston Rd, Billerica, MA 01821"
Academic,MA Bio Member,BENTLEY UNIVERSITY,Lynn,Arenella,Assoc Professor Biotechnology,175 Forest St,,Waltham,MA,02452,0,"175 Forest St, Waltham, MA 02452"
Contract Research & Manufacturing,,BEPETERSON INC,Terry,Moore,CEO,40 Murphy Dr,,Avon,MA,02322,80,"40 Murphy Dr, Avon, MA 02322"
Drug Development,MA Bio Member,BERG BIOSYSTEMS,Niven,Narain,President/CTO,12 Michigan Dr,,Natick,MA,01760,0,"12 Michigan Dr, Natick, MA 01760"
Research Products & Instrumentation,,BERKSHIRE CORP,Whitmore,Kelley,Founder/CEO/Vice Chairman,21 River St,,Great Barrington,MA,01230,,"21 River St, Great Barrington, MA 01230"
Medical Device,,BERN OPTICS INC,Bernd,Gottschalk,President,579 Southampton Rd,,Westfield,MA,01085,43,"579 Southampton Rd, Westfield, MA 01085"
Hospital,MA Bio Member,BETH ISRAEL DEACONESS MEDICAL CENTER,Eric,Buehrens,Interim CEO,330 Brookline Ave,,Boston,MA,02215,7000,"330 Brookline Ave, Boston, MA 02215"
Human Diagnostic Development,MA Bio Member,BG MEDICINE INC,Eric,Bouvier,President/CEO,610 Lincoln St North,,Waltham,MA,02451,30,"610 Lincoln St North, Waltham, MA 02451"
Non-profit Research Institution,,BGI AMERICAS CORP,Yang,Huanming,President/Professor,1 Broadway,14th Floor,Cambridge,MA,02142,10,"1 Broadway 14th Floor, Cambridge, MA 02142"
BioInformatics,,BI2 TECHNOLOGIES,Sean,Mullin,President/CEO,488 State Rd,Suite 1,Plymouth,MA,02360,0,"488 State Rd Suite 1, Plymouth, MA 02360"
Medical Device,,BICON DENTAL IMPLANTS,,,,501 Arborway,,Boston,MA,02130,35,"501 Arborway, Boston, MA 02130"
Drug Development,MA Bio Member,BIND BIOSCIENCES INC,Scott,Minick,President/CEO,325 Vassar St,,Cambridge,MA,02139,30,"325 Vassar St, Cambridge, MA 02139"
Drug Development,,BIO SAN LABORATORIES INC/INNATE RESPONSE,Carl,Jackson,President,8 Bowers Rd,,Derry,NH,03038,50,"8 Bowers Rd, Derry, NH 03038"
Contract Research & Manufacturing,MA Bio Member,BIO-CONCEPT LABORATORIES INC,Francis,Smith,President/CEO,13 Industrial Way,,Salem,NH,03079,24,"13 Industrial Way, Salem, NH 03079"
Medical Device,,BIO-DETEK INC,Mark,Totman,President,525 Narragansett Park Dr,,Pawtucket,RI,02861,160,"525 Narragansett Park Dr, Pawtucket, RI 02861"
Medical Device,,BIO-MED DEVICES INC,Dean,Bennett,CEO,61 Soundview Rd,,Guilford,CT,06437,60,"61 Soundview Rd, Guilford, CT 06437"
Human Diagnostic Development,,BIOARRAY THERAPEUTICS INC,Marcia,Fournier,CEO/Founder,"Venture Development Center, UMASS",100 Morrissey Blvd.,Boston,MA,02125,0,"Venture Development Center, UMASS 100 Morrissey Blvd., Boston, MA 02125"
Human Diagnostic Development,,BIOBEHAVIORAL DIAGNOSTICS CO,Byron,Hewett,Chairman/CEO,239 Littleton Rd,Suite 6A,Westford,MA,01886,5,"239 Littleton Rd Suite 6A, Westford, MA 01886"
Agricultural/Industrial Biotechnology,MA Bio Member,BIOCELL CENTER,,,,200 Boston Ave,Suite 1550,Medford,MA,02445,0,"200 Boston Ave Suite 1550, Medford, MA 02445"
Contract Research & Manufacturing,,BIOCLINICA INC,Mark,Weinstein,President/CEO,321 Commonwealth Rd,Suite 303,Wayland,MA,01778,12,"321 Commonwealth Rd Suite 303, Wayland, MA 01778"
Agricultural/Industrial Biotechnology,,BIODEFENSE CORP,David,Smith,Chairman/CEO,12 Channel St,Marine Industrial Park,Boston,MA,02210,10,"12 Channel St Marine Industrial Park, Boston, MA 02210"
Drug Development,,BIODEL INC,Errol,De Souza,President/CEO/Director,100 Saw Mill Rd,,Danbury,CT,06810,38,"100 Saw Mill Rd, Danbury, CT 06810"
Contract Research & Manufacturing,,BIODEVICE PARTNERS,Steven,Auger,President,17 Lantern Ln,,Cohasset,MA,02025,1,"17 Lantern Ln, Cohasset, MA 02025"
Research Products & Instrumentation,,BIODIRECT INC,Richard,Tula,President/CEO,245 Constitution Dr,,Taunton,MA,02780,20,"245 Constitution Dr, Taunton, MA 02780"
Contract Research & Manufacturing,MA Bio Member,BIOFOCUS,Julie,Frearson,Professor,,,,CT,,1,", , CT "
Drug Development,MA Bio Member,BIOGEN IDEC,George,Scangos,CEO,133 Boston Post Road,,Weston,MA,02493,740,"133 Boston Post Road, Weston, MA 02493"
Human Diagnostic Development,MA Bio Member,BIOHELIX CORP,Huimin,Kong,President,500 Cummings,Suite 5550,Beverly,MA,01915,18,"500 Cummings Suite 5550, Beverly, MA 01915"
Research Products & Instrumentation,,BIOMEDICAL POLYMERS,Michael,Faulkner,President,42 Linus Allain Ave,,Gardner,MA,01440,43,"42 Linus Allain Ave, Gardner, MA 01440"
Contract Research & Manufacturing,MA Bio Member,BIOMEDICAL RESEARCH MODELS INC,Christina,Fox,Director Business Dev't,67 Millbrook St,,Worcester,MA,01606,50,"67 Millbrook St, Worcester, MA 01606"
Medical Device,,BIOMEDICAL STRUCTURES LLC,Dean,Tulumaris,President/CEO,60 Commerce Dr,,Warwick,RI,02886,44,"60 Commerce Dr, Warwick, RI 02886"
Drug Development,MA Bio Member,BIOMEDICAL SYSTEMS,Leah,Zilla,Director Business Dev't,6 Matteo St,,Worcester,MA,01606,1,"6 Matteo St, Worcester, MA 01606"
Research Products & Instrumentation,,BIOMEDICAL TECHNOLOGIES INC,Maurice,Lamarque,President,378 Page St,,Stoughton,MA,02072,10,"378 Page St, Stoughton, MA 02072"
Contract Research & Manufacturing,MA Bio Member,BIOMODELS LLC,Edward,Fey,Managing Partner,313 Pleasant St,,Watertown,MA,02472,12,"313 Pleasant St, Watertown, MA 02472"
Human Diagnostic Development,,BIONOSTICS INC,Michael,Thomas,President/CEO,7 Jackson Rd,,Devens,MA,01434,100,"7 Jackson Rd, Devens, MA 01434"
Contract Research & Manufacturing,,BIOPARTNERS INC,Larry,Bush,President,10 Andy Rd,,Worcester,MA,01602,1,"10 Andy Rd, Worcester, MA 01602"
Research Products & Instrumentation,MA Bio Member,BIOPHYSICS ASSAY LABORATORY INC,Dennis,Vaccaro,Chairman,80 Webster St,,Worcester,MA,01603,10,"80 Webster St, Worcester, MA 01603"
BioInformatics,,BIOPIER,Simon,Gao,President,394 Lowell St,Suite 17,Lexington,MA,02420,10,"394 Lowell St Suite 17, Lexington, MA 02420"
Contract Research & Manufacturing,,BIOPROCESS TECHNOLOGY CONSULTANTS,Howard,Levine,Founder/President/Principal Consultant,12 Gill St,Suite 5450,Woburn,MA,01801,0,"12 Gill St Suite 5450, Woburn, MA 01801"
Human Diagnostic Development,,BIOPROCESSING INC,Gary,Goodrich,President,1045 Riverside St,,Portland,ME,04103,18,"1045 Riverside St, Portland, ME 04103"
Medical Device,,BIORASIS INC,Ioannis,Tomazos,CEO,1392 Storrs Rd,Advanced Tech Lab Room 106,Storrs-Mansfield,CT,06269,5,"1392 Storrs Rd Advanced Tech Lab Room 106, Storrs-Mansfield, CT 06269"
Drug Development,,BIORELIX INC,,,,5 Science Park,401 Winchester Ave,New Haven,CT,06511,,"5 Science Park 401 Winchester Ave, New Haven, CT 06511"
Research Products & Instrumentation,MA Bio Member,BIOSCALE INC,Mark,Lundstrom,CEO/Founder,4 Maguire Rd,,Lexington,MA,02421,40,"4 Maguire Rd, Lexington, MA 02421"
Medical Device,,BIOSIGNETICS CORP,,,,29 Downing Ct,,Exeter,NH,03833,3,"29 Downing Ct, Exeter, NH 03833"
Medical Device,,BIOSURFACES INC,Matthew,Phaneuf,President/CTO,200 Homer Ave,Unit 1P,Ashland,MA,01721,8,"200 Homer Ave Unit 1P, Ashland, MA 01721"
Research Products & Instrumentation,,"BIOTECH SOURCE, THE",Bill,McDonald,Director Business Dev't,4 Commons Dr,Suite 1C,Windham,ME,04062,4,"4 Commons Dr Suite 1C, Windham, ME 04062"
Drug Development,MA Bio Member,BIOTECHNIC PRODUCTS LTD,Prakash,Kadkade,President/CEO,60 Prescott St,,Worcester,MA,01605,7,"60 Prescott St, Worcester, MA 01605"
Medical Device,,BIOTRICITY MEDICAL INC,Stephen,Rathmill,President/Co-founder,17 Alexander Rd,,Hopkinton,MA,01748,1,"17 Alexander Rd, Hopkinton, MA 01748"
Contract Research & Manufacturing,MA Bio Member,BIOTROFIX INC,Seth,Finklestein,CEO,830 Winter St,1st Floor,Waltham,MA,02451,0,"830 Winter St 1st Floor, Waltham, MA 02451"
Agricultural/Industrial Biotechnology,,BIOVATION LLC,Peter,Anania,President/Chairman,55 Industrial Park Rd,,Boothbay,ME,04537,0,"55 Industrial Park Rd, Boothbay, ME 04537"
Research Products & Instrumentation,,BIOVIEW (USA) INC,Dr Alan,Schwebel,President/CEO,44 Manning Rd,,Billerica,MA,01821,10,"44 Manning Rd, Billerica, MA 01821"
Medical Device,,BIT ANALYTICAL INSTRUMENTS,Brian,Jarvis,VP Marketing,388 Munsing St,,Ludlow,MA,01056,3,"388 Munsing St, Ludlow, MA 01056"
Medical Device,,BLACK DIAMOND MANUFACTURING & ENGINEERING INC,Carrie,Denley,President,119 Foster St,Bldg 12 2nd Floor Rear,Peabody,MA,01960,7,"119 Foster St Bldg 12 2nd Floor Rear, Peabody, MA 01960"
Drug Development,MA Bio Member,BLEND THERAPEUTICS,Omid,Farokhzad,Founder,134 Coolidge Ave,,Watertown,MA,02472,0,"134 Coolidge Ave, Watertown, MA 02472"
Contract Research & Manufacturing,MA Bio Member,BLUE SKY BIOTECH INC,Paul,Wengender,CEO,60 Prescott St,,Worcester,MA,01605,,"60 Prescott St, Worcester, MA 01605"
Contract Research & Manufacturing,MA Bio Member,BLUE STREAM LABORATORIES INC,Michael,Kouchakdjian,President,763 Concord Ave,Bldg E,Cambridge,MA,02138,17,"763 Concord Ave Bldg E, Cambridge, MA 02138"
Medical Device,,BLUE THUNDER TECHNOLOGIES,Gina,Cyr,Sales Manager,1 Corporate Rd,#108,Enfield,CT,06082,12,"1 Corporate Rd #108, Enfield, CT 06082"
Drug Development,MA Bio Member,BLUEBIRD BIO,Nick,Leschly,President/CEO,840 Memorial Dr,,Cambridge,MA,02139,12,"840 Memorial Dr, Cambridge, MA 02139"
Drug Development,MA Bio Member,BLUEPRINT MEDICINES,Chris,Varma,President/CEO,215 First St,,Cambridge,MA,02142,22,"215 First St, Cambridge, MA 02142"
Drug Development,,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,J Martin,Carroll,President/CEO,900 Ridgebury Rd,P O Box 368,Ridgefield,CT,06877,2200,"900 Ridgebury Rd P O Box 368, Ridgefield, CT 06877"
Contract Research & Manufacturing,MA Bio Member,BOSTON ANALYTICAL INC,Jim,Mich,General Manager,8 Industrial Way,Unit D-3,Salem,NH,03079,58,"8 Industrial Way Unit D-3, Salem, NH 03079"
Research Products & Instrumentation,MA Bio Member,BOSTON BIOCHEM INC,Francesco,Melandri,President/CEO,840 Memorial Dr,,Cambridge,MA,02139,12,"840 Memorial Dr, Cambridge, MA 02139"
Drug Development,MA Bio Member,BOSTON BIOMEDICAL INC,Paula,Magoon,Executive Administrator,333 Providence Highway,,Norwood,MA,02062,25,"333 Providence Highway, Norwood, MA 02062"
Medical Device,,BOSTON BRACE INTERNATIONAL INC,Tom,Morrissey,President/CEO,20 Ledin Dr,,Avon,MA,02322,120,"20 Ledin Dr, Avon, MA 02322"
Research Products & Instrumentation,,BOSTON ELECTRONICS CORP,Fred,Perry,President,91 Boylston St,,Brookline,MA,02445,8,"91 Boylston St, Brookline, MA 02445"
Medical Device,,BOSTON HEART DIAGNOSTICS,Susan,Hertzberg,CEO, 2 Central St,,Framingham,MA,01701,0," 2 Central St, Framingham, MA 01701"
Medical Device,,BOSTON MEDICAL PRODUCTS INC,Stuart,Montgomery,CEO/President,117 Flanders Rd,,Westborough,MA,01581,14,"117 Flanders Rd, Westborough, MA 01581"
Medical Device,,BOSTON MEDTECH ADVISORS,David,Barone,Principal,990 Washington St,,Dedham,MA,02026,5,"990 Washington St, Dedham, MA 02026"
Medical Device,,BOSTON MICROMACHINES CORP,Paul,Bierden,President/CEO,30 Spinelli Pl,,Cambridge,MA,02138,10,"30 Spinelli Pl, Cambridge, MA 02138"
Medical Device,,BOSTON NEUROFEEDBACK CENTER PC,Anita,Myer,CEO,7 Alfred St,,Woburn,MA,01801,4,"7 Alfred St, Woburn, MA 01801"
Medical Device,,BOSTON SCIENTIFIC CORP,"William ""Hank""",Kucheman,CEO,1 Boston Scientific Pl,,Natick,MA,01760,2100,"1 Boston Scientific Pl, Natick, MA 01760"
Contract Research & Manufacturing,,BOYD COATINGS RESEARCH CO INC,Donald,Garcia,President,51 Parmenter Rd,,Hudson,MA,01749,98,"51 Parmenter Rd, Hudson, MA 01749"
Medical Device,,BRAIN RESEARCH LABORATORIES INC,,,,Waban PO Box 88,,Newton,MA,02468,0,"Waban PO Box 88, Newton, MA 02468"
Research Products & Instrumentation,,BRAND-NU LABORATORIES INC,John,Gorman,President,377 Research Parkway,,Meriden,CT,06450,30,"377 Research Parkway, Meriden, CT 06450"
Drug Development,MA Bio Member,BRISTOL-MYERS SQUIBB CO,Eamonn,Goold,VP/GM Devens Technical,38 Jackson Road,,Devens,MA,01434,250,"38 Jackson Road, Devens, MA 01434"
Medical Device,,BRUCE MEDICAL SUPPLY,Richard,Najarian,President,411 Waverly Oaks Rd,,Waltham,MA,02452,35,"411 Waverly Oaks Rd, Waltham, MA 02452"
Medical Device,,BRUKER BIOSPIN CORP,Frank,Laukien,President,15 Fortune Dr,,Billerica,MA,01821,110,"15 Fortune Dr, Billerica, MA 01821"
Research Products & Instrumentation,,BRUKER DALTONICS INC,Frank,Laukien,President/CEO,40 Manning Rd,,Billerica,MA,01821,100,"40 Manning Rd, Billerica, MA 01821"
Medical Device,,BRUNSWICK BIOMEDICAL TECHNOLOGIES,John,Driscoll,CEO/President,4 Little Brook Rd,,W Wareham,MA,02576,10,"4 Little Brook Rd, W Wareham, MA 02576"
Medical Device,,BRYAN CORP,Brian,Abrano,GM,4 Plympton St,,Woburn,MA,01801,9,"4 Plympton St, Woburn, MA 01801"
Medical Device,,BRYMILL CORP,Claudio,Russo,GM,105 Windermere Ave,,Ellington,CT,06029,12,"105 Windermere Ave, Ellington, CT 06029"
Research Products & Instrumentation,,BULLDOG BIO INC,Michael,Mortillaro,Owner,One New Hampshire Ave,Suite 125,Portsmouth,NH,03801,0,"One New Hampshire Ave Suite 125, Portsmouth, NH 03801"
Medical Device,,CADENCE SCIENCE INC,TM,Dickinson,VP Marketing,2080 Plainfield Pike,,Cranston,RI,02921,87,"2080 Plainfield Pike, Cranston, RI 02921"
Research Products & Instrumentation,,"CALIPER, A PERKINELMER CO",,,,68 Elm St,,Hopkinton,MA,01748,225,"68 Elm St, Hopkinton, MA 01748"
Contract Research & Manufacturing,MA Bio Member,CAMBRIDGE BIOMEDICAL INC,Barbara,Osband,President/CEO,1320 Soldiers Field Rd,,Boston,MA,02135,32,"1320 Soldiers Field Rd, Boston, MA 02135"
Human Diagnostic Development,,CAMBRIDGE BIOSOURCE LLC,Michael,Rothman,CEO,3 Frost St,,Cambridge,MA,02140,10,"3 Frost St, Cambridge, MA 02140"
Medical Device,,CAMBRIDGE ENDOSCOPIC DEVICES INC,Woojin,Lee,President,119 Herbert St,,Framingham,MA,01702,10,"119 Herbert St, Framingham, MA 01702"
Medical Device,,CAMBRIDGE HEART INC,Ali,Haghighi Mood,President/CEO,100 Ames Pond Dr,Suite 100,Tewksbury,MA,01786,20,"100 Ames Pond Dr Suite 100, Tewksbury, MA 01786"
Contract Research & Manufacturing,,CAMBRIDGE ISOTOPE LABORATORIES,Joel,Bradley,CEO,50 Frontage Rd,,Andover,MA,01810,100,"50 Frontage Rd, Andover, MA 01810"
Contract Research & Manufacturing,,CAMBRIDGE SCIENTIFIC PRODUCTS,Barbara,Pearlman,President,199 Dexter Ave,,Watertown,MA,02472,15,"199 Dexter Ave, Watertown, MA 02472"
Disease Foundation,MA Bio Member,CANCER RESEARCH TECHNOLOGY INC,Larry,Steranka,Managing Director,1 Kendall Square,Suite B2101,Cambridge,MA,02139,3,"1 Kendall Square Suite B2101, Cambridge, MA 02139"
Medical Device,,CANDELA CORP,Gerard,Puorro,President/CEO,530 Boston Post Rd,,Wayland,MA,01778,196,"530 Boston Post Rd, Wayland, MA 01778"
Research Products & Instrumentation,MA Bio Member,CAPRALOGICS INC,Stan,White,President/CEO,P O Box 356,,Hardwick,MA,01037,9,"P O Box 356, Hardwick, MA 01037"
Medical Device,,CAPSULE TECH INC,Brian,McAlpine,Director Strategic Products,300 Brickstone Sq,Suite 203,Andover,MA,01810,55,"300 Brickstone Sq Suite 203, Andover, MA 01810"
Drug Development,,CARA THERAPEUTICS INC,Derek,Chalmers,CEO/President/Director,One Parrott Dr,,Shelton,CT,06484,9,"One Parrott Dr, Shelton, CT 06484"
Medical Device,,CARDIOFOCUS,Steve,Sagon,President/CEO,500 Nickerson Rd,Suite 500-200,Marlborough,MA,01752,15,"500 Nickerson Rd Suite 500-200, Marlborough, MA 01752"
Medical Device,,CARDIOPULMONARY CORP,Mike,Agro,Northeast Regional Sales Executive,200 Cascade Blvd,,Milford,CT,06460,,"200 Cascade Blvd, Milford, CT 06460"
Medical Device,,CARDIOSOLUTIONS INC,Steven,Tallarida,President/Chairman,375 West St,,W Bridgewater,MA,02379,15,"375 West St, W Bridgewater, MA 02379"
Medical Device,,CARDIOVASCULAR INSTRUMENT CORP,A Edward,Urkiewicz,President,102 Foundry St,P O Box 188,Wakefield,MA,01880,12,"102 Foundry St P O Box 188, Wakefield, MA 01880"
Medical Device,,CARESTREAM HEALTH MOLECULAR IMAGING SYSTEMS,Kevin,Hobert,CEO,4 Research Dr,,Woodbridge,CT,06525,75,"4 Research Dr, Woodbridge, CT 06525"
Medical Device,,CASCO BAY MOLDING,Andrew,Powell,President,32 Smada Dr,,Sanford,ME,04073,12,"32 Smada Dr, Sanford, ME 04073"
Medical Device,,CASMED/CAS MEDICAL SYSTEMS INC,Louis,Scheps,Chairman,44 East Industrial Rd,,Branford,CT,06405,100,"44 East Industrial Rd, Branford, CT 06405"
Medical Device,,CASTLEWOOD SURGICAL INC,Wolfgang,Daum,CEO,20 Main St,Suite 302,Concord,MA,01742,0,"20 Main St Suite 302, Concord, MA 01742"
Drug Development,MA Bio Member,CATABASIS PHARMACEUTICALS INC,Jill,Milne,CEO/Co-Founder,1 Kendall Sq,Suite B14202,Cambridge,MA,02139,20,"1 Kendall Sq Suite B14202, Cambridge, MA 02139"
Contract Research & Manufacturing,,CATO RESEARCH BOSTON,,,,1100 Winter St,,Waltham,MA,02451,6,"1100 Winter St, Waltham, MA 02451"
Non-profit Research Institution,MA Bio Member,CBSET INC,Dan,Howell,Director Sales/Marketing,500 Shire Way,,Lexington,MA,02421,45,"500 Shire Way, Lexington, MA 02421"
Contract Research & Manufacturing,,CBT ADVISORS,Steven,Dickman,CEO,1 Broadway,14th Flr,Cambridge,MA,02142,1,"1 Broadway 14th Flr, Cambridge, MA 02142"
Drug Development,,CELEXION LLC,Brian,Baynes,CEO,1 Kendall Sq,Bldg 1400,Cambridge,MA,02139,0,"1 Kendall Sq Bldg 1400, Cambridge, MA 02139"
Contract Research & Manufacturing,,CELL ESSENTIALS INC,Douglas,Jefferson,President,198 Tremont St #181,,Boston,MA,02116,20,"198 Tremont St #181, Boston, MA 02116"
Research Products & Instrumentation,MA Bio Member,CELL SIGNALING TECHNOLOGY INC,Michael,Comb,CEO,3 Trask Ln,,Danvers,MA,01923,0,"3 Trask Ln, Danvers, MA 01923"
Medical Device,MA Bio Member,CELLAY INC,Shannon,Knuth,Marketing Manager,100 Inman St,Suite 200,Cambridge,MA,02139,17,"100 Inman St Suite 200, Cambridge, MA 02139"
Drug Development,,CELLCEUTIX CORP,Krishna,Menon,President/CSO,100 Cumming Center,Suite 151-B,Beverly,MA,01915,0,"100 Cumming Center Suite 151-B, Beverly, MA 01915"
Drug Development,MA Bio Member,CELLDEX THERAPEUTICS INC,Anthony,Marucci,President/CEO,119 4th Ave,,Needham,MA,02494,43,"119 4th Ave, Needham, MA 02494"
Research Products & Instrumentation,MA Bio Member,CELLECTIS BIORESEARCH INC,Eric,Merle,US Sales Director,One Broadway,,Cambridge,MA,02142,2,"One Broadway, Cambridge, MA 02142"
Contract Research & Manufacturing,,CELLMOSAIC LLC,Yumei,Huang,Founder/President/CEO,100 Barber Ave,,Worcester,MA,01606,4,"100 Barber Ave, Worcester, MA 01606"
